,date_time,temp_avg,rh_avg,sr_avg,batt_volt
0,2024-02-01 00:20:00,24.24,97.3,26.53,12.46
1,2024-02-01 00:30:00,24.31,97.2,42.95,12.46
2,2024-02-01 00:40:00,24.27,96.8,58.91,12.49
3,2024-02-01 00:50:00,24.34,96.6,74.88,12.5
4,2024-02-01 01:00:00,24.75,95.8,138.6,12.53
5,2024-02-01 01:10:00,25.24,94.7,234.4,12.53
6,2024-02-01 01:20:00,25.67,92.6,280.1,12.65
7,2024-02-01 01:30:00,26.07,90.6,309.8,13.02
8,2024-02-01 01:40:00,26.47,89.1,368.6,13.15
9,2024-02-01 01:50:00,26.72,88.2,461.7,13.26
10,2024-02-01 02:00:00,27.14,87.2,520.4,13.35
11,2024-02-01 02:10:00,27.29,85.9,378.3,13.25
12,2024-02-01 02:20:00,27.21,85.7,274.0,13.09
13,2024-02-01 02:30:00,27.5,84.3,272.9,13.11
14,2024-02-01 02:40:00,27.5,83.1,291.9,13.13
15,2024-02-01 02:50:00,27.67,82.7,283.6,13.12
16,2024-02-01 03:00:00,27.83,82.4,293.5,13.15
17,2024-02-01 03:20:00,28.52,80.7,302.0,13.17
18,2024-02-01 03:30:00,28.88,78.99,362.7,13.28
19,2024-02-01 03:40:00,29.07,76.56,513.4,13.52
20,2024-02-01 03:50:00,29.36,74.82,618.8,13.63
21,2024-02-01 04:00:00,29.78,72.8,938.0,13.69
22,2024-02-01 04:10:00,30.12,71.69,885.0,13.68
23,2024-02-01 04:20:00,30.26,69.2,934.0,13.64
24,2024-02-01 04:30:00,30.49,67.38,941.0,13.62
25,2024-02-01 04:40:00,30.83,67.08,956.0,13.62
26,2024-02-01 04:50:00,30.85,67.1,1002.0,13.61
27,2024-02-01 05:00:00,30.87,66.39,750.7,13.54
28,2024-02-01 05:10:00,30.75,67.41,735.7,13.53
29,2024-02-01 05:20:00,31.14,64.39,983.0,13.58
30,2024-02-01 05:30:00,31.28,64.09,941.0,13.6
31,2024-02-01 05:40:00,31.49,63.13,983.0,13.59
32,2024-02-01 05:50:00,31.52,63.71,999.0,13.55
33,2024-02-01 06:00:00,31.28,63.37,642.1,13.53
34,2024-02-01 06:10:00,31.79,63.09,1109.0,13.49
35,2024-02-01 06:20:00,32.1,63.16,1075.0,13.12
36,2024-02-01 06:30:00,31.93,62.12,1031.0,13.12
37,2024-02-01 06:40:00,31.98,62.28,966.0,13.13
38,2024-02-01 06:50:00,31.86,60.6,954.0,13.11
39,2024-02-01 07:00:00,31.98,60.57,935.0,13.09
40,2024-02-01 07:10:00,31.92,62.27,917.0,13.11
41,2024-02-01 07:20:00,32.14,61.98,899.0,13.1
42,2024-02-01 07:30:00,32.17,60.3,880.0,13.09
43,2024-02-01 07:40:00,32.01,60.34,863.0,13.09
44,2024-02-01 07:50:00,32.46,60.71,836.0,13.1
45,2024-02-01 08:00:00,32.2,60.0,816.0,13.11
46,2024-02-01 08:10:00,31.54,62.31,792.9,13.09
47,2024-02-01 08:20:00,31.15,66.73,762.3,13.1
48,2024-02-01 08:30:00,31.04,65.75,733.0,13.11
49,2024-02-01 08:40:00,30.76,67.89,696.2,13.09
50,2024-02-01 08:50:00,30.62,68.48,670.0,13.09
51,2024-02-01 09:00:00,30.64,68.06,640.4,13.09
52,2024-02-01 09:10:00,30.93,67.63,591.8,13.11
53,2024-02-01 09:50:00,,,,13.14
54,2024-02-01 11:30:00,29.19,71.88,19.47,12.78
55,2024-02-01 11:40:00,28.95,73.71,12.6,12.77
56,2024-02-01 11:50:00,28.74,75.24,4.756,12.75
57,2024-02-01 12:00:00,28.51,76.3,0.647,12.75
58,2024-02-01 12:10:00,28.31,77.42,0.0,12.74
59,2024-02-01 12:20:00,28.06,78.88,0.0,12.73
60,2024-02-01 12:30:00,27.85,79.97,0.0,12.72
61,2024-02-01 12:40:00,27.73,80.7,0.0,12.72
62,2024-02-01 12:50:00,27.6,81.6,0.0,12.72
63,2024-02-01 13:00:00,27.42,82.7,0.0,12.71
64,2024-02-01 13:10:00,27.29,83.4,0.0,12.7
65,2024-02-01 13:20:00,27.31,83.1,0.0,12.7
66,2024-02-01 13:30:00,27.29,83.3,0.0,12.69
67,2024-02-01 13:40:00,27.19,84.6,0.0,12.68
68,2024-02-01 13:50:00,27.07,85.1,0.0,12.68
69,2024-02-01 14:00:00,27.1,85.9,0.0,12.68
70,2024-02-01 14:10:00,27.11,86.1,0.0,12.67
71,2024-02-01 14:20:00,27.2,85.8,0.0,12.68
72,2024-02-01 14:30:00,27.25,86.0,0.0,12.67
73,2024-02-01 14:40:00,27.3,86.2,0.0,12.66
74,2024-02-01 14:50:00,27.26,86.4,0.0,12.65
75,2024-02-01 15:00:00,27.13,86.5,0.0,12.66
76,2024-02-01 15:10:00,27.05,86.7,0.0,12.64
77,2024-02-01 15:20:00,26.92,87.2,0.0,12.64
78,2024-02-01 15:30:00,26.86,87.6,0.0,12.65
79,2024-02-01 15:40:00,26.77,87.8,0.0,12.63
80,2024-02-01 15:50:00,26.66,88.3,0.0,12.64
81,2024-02-01 16:00:00,26.6,88.6,0.0,12.64
82,2024-02-01 16:10:00,26.52,88.8,0.0,12.63
83,2024-02-01 16:20:00,26.38,89.4,0.0,12.61
84,2024-02-01 16:30:00,26.2,90.0,0.0,12.63
85,2024-02-01 16:40:00,26.08,91.1,0.0,12.62
86,2024-02-01 16:50:00,25.98,91.6,0.0,12.61
87,2024-02-01 17:00:00,26.04,91.4,0.0,12.59
88,2024-02-01 17:10:00,26.09,91.2,0.0,12.6
89,2024-02-01 17:20:00,26.07,91.2,0.0,12.61
90,2024-02-01 17:30:00,26.05,91.3,0.0,12.6
91,2024-02-01 17:40:00,25.98,91.6,0.0,12.58
92,2024-02-01 17:50:00,25.88,91.9,0.0,12.59
93,2024-02-01 18:00:00,25.77,92.1,0.0,12.58
94,2024-02-01 18:10:00,25.74,92.1,0.0,12.58
95,2024-02-01 18:20:00,25.65,92.2,0.0,12.57
96,2024-02-01 18:30:00,25.59,92.6,0.0,12.56
97,2024-02-01 18:40:00,25.49,93.2,0.0,12.57
98,2024-02-01 18:50:00,25.34,93.6,0.0,12.56
99,2024-02-01 19:00:00,25.21,93.9,0.0,12.56
